Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
-5.7m	731.5m	0	3	-30m	0	
-5.8m	732m			30m	0	
-5.8m	731.8m					
-5.8m	731.9m					
-5.7m	732m					
-5.8m	731.8m					
-5.8m	731.8m					
-5.8m	731.9m					
-5.8m	731.8m					
-5.7m	731.8m					
-5.8m	732m					
-5.7m	733.1m					
-5.8m	733.8m					
-5.7m	734m					
-5.8m	733.9m					
-5.8m	733.8m					
-5.8m	733.9m					
-5.8m	733.8m					
-5.8m	733.8m					
-5.8m	734m					
-5.8m	733.8m					
-5.8m	733.8m					
-5.7m	738.6m					
-5.8m	739.2m					
-5.8m	739.2m					
-5.8m	739.3m					
-5.8m	739.2m					
-5.8m	739.2m					
-5.8m	739.3m					
-5.8m	739.2m					
-5.8m	739.2m					
-5.8m	739.3m					
-5.8m	739.8m					
-5.8m	743.2m					
-5.8m	743.2m					
-5.8m	743.2m					
-5.8m	743.3m					
-5.8m	743.1m					
-5.8m	743.2m					
-5.8m	743.2m					
-5.8m	743.3m					
-5.8m	743.2m					
-5.8m	743.3m					
-5.8m	745.8m					
-5.8m	749.2m					
-5.8m	749.3m					
-5.8m	749.2m					
-5.8m	749.2m					
-5.8m	749.3m					
-5.8m	749.2m					
-5.9m	749.1m					
-5.8m	749.3m					
-5.9m	749.2m					
-5.8m	749.2m					
-5.9m	751.3m					
-5.8m	751.1m					
-5.8m	751.2m					
-5.8m	751.3m					
-5.8m	751.2m					
-5.8m	751.1m					
-5.9m	751.4m					
-5.9m	751.3m					
-5.9m	751.1m					
-5.9m	751.3m					
-5.8m	750.7m					
-5.9m	749.8m					
-5.9m	750.1m					
-5.9m	749.8m					
-5.9m	749.8m					
-5.9m	750m					
-5.9m	749.8m					
-5.9m	749.7m					
-5.9m	750m					
-5.9m	749.9m					
-5.9m	749.9m					
-5.9m	750m					
-5.9m	749.8m					
-5.9m	749.9m					
-5.9m	750.1m					
-5.9m	749.9m					
-5.9m	749.9m					
-5.9m	750m					
-5.9m	749.9m					
-5.9m	749.9m					
-5.9m	750m					
-5.9m	749.7m					
-5.9m	748.6m					
-5.9m	748.8m					
-5.9m	748.5m					
-5.9m	748.6m					
-6m	748.7m					
-5.9m	748.5m					
-5.9m	748.6m					
-5.9m	748.7m					
-5.9m	748.5m					
-5.9m	748.6m					
-6m	752.7m					
-5.9m	757.8m					
-6m	757.8m					
-5.9m	758m					
-5.9m	757.9m					
-6m	757.9m					
-5.9m	757.9m					
-6m	757.8m					
-5.9m	757.9m					
-6m	758m					
-5.9m	757.9m					
-6m	758.6m					
-6m	758.7m					
-6m	758.5m					
-6m	758.7m					
-5.9m	758.6m					
-6m	758.4m					
-6m	758.6m					
-6.1m	758.5m					
-5.9m	758.5m					
-6m	758.7m					
-6m	761.6m					
-6m	763.3m					
-6m	763.3m					
-6m	763.3m					
-6m	763.3m					
-6m	763.4m					
-6m	763.2m					
-6m	763.2m					
-6m	763.3m					
-6m	763.1m					
-6m	763.1m					
-6m	763.2m					
-6m	763.1m					
-6m	763.1m					
-6m	763.3m					
-6m	763.2m					
-6m	763.2m					
-6.1m	763.3m					
-6m	763.2m					
-6m	763.2m					
-6m	763.4m					
-6m	765.5m					
-6m	765.8m					
-6m	766.1m					
-6m	765.9m					
-6m	765.9m					
-6m	766.1m					
-6m	765.8m					
-6.1m	765.8m					
-6m	766m					
-6m	765.9m					
-6.1m	767.5m					
-6m	769.4m					
-6m	769.2m					
-6.1m	769.2m					
-6.1m	769.4m					
-6.1m	769.2m					
-6m	769.2m					
-6m	769.4m					
-6.1m	769.2m					
-6m	769.3m					
-6.1m	769.5m					
-6m	771.8m					
-6.1m	771.8m					
-6.1m	771.9m					
-6.1m	771.8m					
-6.1m	771.8m					
-6.1m	771.9m					
-6m	771.8m					
-6.1m	771.8m					
-6.1m	772m					
-6.1m	771.7m					
-6.1m	772.5m					
-6.1m	772.6m					
-6.1m	772.4m					
-6.1m	772.5m					
-6.1m	772.6m					
-6.1m	772.4m					
-6.1m	772.5m					
-6.1m	772.6m					
-6.1m	772.5m					
-6.1m	772.6m					
-6.1m	774.5m					
-6.1m	775.8m					
-6.1m	775.9m					
-6.1m	776m					
-6.1m	775.8m					
-6.1m	776m					
-6.1m	775.9m					
-6.1m	775.9m					
-6.1m	776m					
-6.1m	775.8m					
-6.1m	777.3m					
-6.1m	778.6m					
-6.1m	778.5m					
-6.1m	778.5m					
-6.1m	778.7m					
-6.2m	778.4m					
-6.1m	778.5m					
-6.2m	778.7m					
-6.1m	778.5m					
-6.2m	778.5m					
-6.1m	778.8m					
-6.2m	779.1m					
-6.1m	779.1m					
-6.2m	779.3m					
-6.2m	779.1m					
-6.1m	779.1m					
-6.2m	779.3m					
-6.2m	779.1m					
-6.1m	779.1m					
-6.1m	779.3m					
-6.1m	779.3m					
-6.2m	781.1m					
-6.2m	781.3m					
-6.2m	781.1m					
-6.2m	781.2m					
-6.2m	781.3m					
-6.2m	781.2m					
-6.2m	781.1m					
-6.2m	781.3m					
-6.2m	781.2m					
-6.2m	781.2m					
-6.2m	781.7m					
-6.2m	781.8m					
-6.2m	781.8m					
-6.2m	781.9m					
-6.2m	781.8m					
-6.2m	781.8m					
-6.2m	782m					
-6.2m	781.8m					
-6.2m	781.8m					
-6.2m	782m					
-6.2m	782.2m					
-6.2m	782.5m					
-6.2m	782.6m					
-6.2m	782.4m					
-6.2m	782.4m					
-6.2m	782.7m					
-6.2m	782.5m					
-6.2m	782.5m					
-6.2m	782.6m					
-6.2m	782.5m					
-6.2m	785m					
-6.3m	787.2m					
-6.2m	787.1m					
-6.2m	787.2m					
-6.2m	787.2m					
-6.2m	787.1m					
-6.2m	787.2m					
-6.3m	787.2m					
-6.2m	787.1m					
-6.3m	787.2m					
-6.2m	788.8m					
-6.3m	790.4m					
-6.2m	790.5m					
-6.3m	790.4m					
-6.2m	790.4m					
-6.3m	790.6m					
-6.3m	790.4m					
-6.3m	790.4m					
-6.3m	790.6m					
-6.3m	790.5m					
-6.3m	792.2m					
-6.2m	794.6m					
-6.2m	794.4m					
-6.3m	794.4m					
-6.3m	794.6m					
-6.3m	794.4m					
-6.3m	794.5m					
-6.3m	794.6m					
-6.3m	794.4m					
-6.3m	794.4m					
-6.3m	798.4m					
-6.3m	799.8m					
-6.3m	799.7m					
-6.3m	799.9m					
-6.3m	799.7m					
-6.3m	799.8m					
-6.3m	799.8m					
-6.3m	799.8m					
-6.3m	799.8m					
-6.3m	799.9m					
-6.3m	799.3m					
-6.3m	799.1m					
-6.3m	799.2m					
-6.4m	799.1m					
-6.3m	799.1m					
-6.3m	799.2m					
-6.3m	799.1m					
-6.3m	799.1m					
-6.3m	799.3m					
-6.3m	799.1m					
-6.3m	800.3m					
-6.3m	801.3m					
-6.3m	801.1m					
-6.3m	801.1m					
-6.3m	801.2m					
-6.3m	801.1m					
-6.4m	801.1m					
-6.3m	801.2m					
-6.3m	801.1m					
-6.3m	801.1m					
-6.4m	804.7m					
-6.4m	805.1m					
-6.3m	805.1m					
-6.3m	805.3m					
-6.4m	805m					
-6.3m	805m					
-6.4m	805.2m					
-6.3m	805.1m					
-6.4m	805.2m					
-6.4m	805.2m					
-6.4m	805.1m					
-6.4m	805.2m					
-6.4m	805.2m					
-6.4m	805.1m					
-6.4m	805.1m					
-6.4m	805.2m					
-6.3m	805.1m					
-6.4m	805.1m					
-6.4m	805.1m					
-6.4m	805.3m					
-6.3m	807.8m					
-6.4m	807.8m					
-6.4m	807.7m					
-6.4m	807.8m					
-6.4m	807.7m					
-6.4m	807.7m					
-6.4m	807.9m					
-6.4m	807.8m					
-6.4m	807.7m					
-6.4m	809.8m					
-6.4m	813.1m					
-6.4m	813.1m					
-6.4m	813.3m					
-6.4m	813.1m					
-6.4m	813m					
-6.4m	813.1m					
-6.4m	813m					
-6.4m	813m					
-6.4m	813.2m					
-6.4m	813.4m					
-6.5m	813.7m					
-6.4m	813.9m					
-6.5m	813.8m					
-6.4m	813.7m					
-6.4m	813.9m					
-6.4m	813.7m					
-6.4m	813.8m					
-6.4m	813.9m					
-6.4m	813.9m					
-6.4m	813.2m					
-6.4m	813.3m					
-6.5m	813m					
-6.4m	813.1m					
-6.5m	813.3m					
-6.5m	813m					
-6.5m	813.2m					
-6.4m	813.3m					
-6.5m	813.1m					
-6.5m	813.1m					
-6.5m	813.3m					
-6.5m	813.1m					
-6.5m	813.1m					
-6.5m	813.2m					
-6.5m	813m					
-6.5m	813.1m					
-6.5m	813.2m					
-6.5m	813m					
-6.5m	813.1m					
-6.5m	812.8m					
-6.5m	809.1m					
-6.5m	809m					
-6.5m	809.2m					
-6.5m	809m					
-6.5m	809.1m					
-6.5m	809.2m					
-6.5m	809.1m					
-6.5m	809m					
-6.5m	809.2m					
-6.5m	812.2m					
-6.5m	817.1m					
-6.5m	817.1m					
-6.5m	817.1m					
-6.5m	817.1m					
-6.5m	817.2m					
-6.5m	817.1m					
-6.5m	817.1m					
-6.5m	817.1m					
-6.5m	817m					
-6.5m	816.8m					
-6.5m	816.4m					
-6.5m	816.4m					
-6.6m	816.6m					
-6.5m	816.4m					
-6.6m	816.4m					
-6.5m	816.6m					
-6.5m	816.4m					
-6.5m	816.4m					
-6.6m	816.6m					
-6.5m	820.7m					
-6.6m	821m					
-6.5m	821.2m					
-6.5m	821.1m					
-6.6m	821m					
-6.5m	821.2m					
-6.6m	821m					
-6.5m	821.1m					
-6.6m	821.3m					
-6.5m	823.4m					
-6.6m	825.6m					
-6.6m	825.9m					
-6.6m	825.7m					
-6.6m	825.7m					
-6.6m	825.8m					
-6.6m	825.7m					
-6.5m	825.7m					
-6.6m	825.9m					
-6.6m	825.7m					
-6.6m	828.8m					
-6.6m	829.9m					
-6.6m	829.7m					
-6.6m	829.6m					
-6.6m	829.8m					
-6.6m	829.8m					
-6.6m	829.7m					
-6.6m	829.8m					
-6.6m	829.6m					
-6.6m	829.7m					
-6.6m	829.9m					
-6.7m	829.7m					
-6.7m	829.7m					
-6.6m	829.9m					
-6.6m	829.7m					
-6.6m	829.7m					
-6.6m	829.9m					
-6.6m	829.7m					
-6.6m	829.7m					
-6.6m	832.5m					
-6.6m	833.7m					
-6.6m	833.7m					
-6.6m	833.9m					
-6.6m	833.6m					
-6.6m	833.7m					
-6.7m	833.8m					
-6.6m	833.7m					
-6.7m	833.7m					
-6.6m	834.2m					
-6.7m	835m					
-6.7m	835m					
-6.7m	835.1m					
-6.6m	835.1m					
-6.6m	835.1m					
-6.6m	835.2m					
-6.7m	835m					
-6.7m	835.1m					
-6.6m	835.2m					
-6.7m	835.8m					
-6.6m	836.5m					
-6.7m	836.6m					
-6.6m	836.4m					
-6.7m	836.5m					
-6.7m	836.5m					
-6.7m	836.5m					
-6.7m	836.6m					
-6.7m	836.5m					
-6.7m	836.5m					
-6.7m	837.2m					
-6.7m	837.1m					
-6.6m	837.1m					
-6.6m	837.1m					
-6.7m	837.2m					
-6.7m	837.1m					
-6.7m	837.2m					
-6.7m	837.1m					
-6.7m	837m					
-6.7m	837.7m					
-6.7m	837.7m					
-6.7m	837.8m					
-6.7m	837.9m					
-6.7m	837.8m					
-6.7m	837.7m					
-6.7m	837.9m					
-6.7m	837.7m					
-6.7m	837.8m					
-6.7m	837.9m					
-6.7m	837.1m					
-6.7m	837.1m					
-6.7m	837.3m					
-6.7m	837m					
-6.8m	837.1m					
-6.7m	837.2m					
-6.7m	837.1m					
-6.7m	837.2m					
-6.7m	837.3m					
-6.8m	840.5m					
-6.7m	842.5m					
-6.8m	842.7m					
-6.7m	842.5m					
-6.8m	842.4m					
-6.7m	842.5m					
-6.8m	842.4m					
-6.7m	842.4m					
-6.7m	842.6m					
-6.7m	840.6m					
-6.7m	835.1m					
-6.8m	835.3m					
-6.7m	835.1m					
-6.8m	835.2m					
-6.8m	835.3m					
-6.8m	835.1m					
-6.7m	835.1m					
-6.8m	835.3m					
-6.8m	835.1m					
-6.8m	846m					
-6.8m	847.9m					
-6.8m	847.8m					
-6.8m	847.7m					
-6.8m	847.9m					
-6.8m	847.8m					
-6.8m	847.7m					
-6.8m	847.9m					
-6.8m	847.7m					
-6.8m	848.7m					
-6.8m	849.8m					
-6.8m	849.7m					
-6.8m	849.8m					
-6.8m	849.8m					
-6.8m	849.6m					
-6.8m	849.7m					
-6.8m	849.8m					
-6.8m	849.7m					
-6.8m	849.9m					
-6.8m	850.5m					
-6.8m	850.4m					
-6.8m	850.6m					
-6.8m	850.5m					
-6.8m	850.4m					
-6.8m	850.5m					
-6.8m	850.4m					
-6.8m	850.4m					
-6.8m	850.6m					
-6.9m	852.9m					
-6.8m	853.8m					
-6.8m	853.8m					
-6.8m	853.7m					
-6.9m	853.7m					
-6.8m	853.8m					
-6.8m	853.7m					
-6.8m	853.7m					
-6.9m	853.9m					
-6.8m	858.2m					
-6.9m	860.4m					
-6.8m	860.6m					
-6.9m	860.4m					
-6.8m	860.3m					
-6.9m	860.5m					
-6.9m	860.3m					
-6.8m	860.4m					
-6.9m	860.6m					
-6.9m	859.9m					
-6.9m	858.5m					
-6.9m	858.5m					
-6.9m	858.4m					
-6.9m	858.3m					
-6.9m	858.6m					
-6.8m	858.4m					
-6.9m	858.4m					
-6.9m	858.6m					
-6.9m	858.4m					
-6.9m	860.9m					
-6.9m	861.2m					
-6.9m	861m					
-6.9m	861.1m					
-6.9m	861.2m					
