Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
25.1m	-2.5	0	3	-30m	0	
25.1m	-2.5	0	-3	30m	0	
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25m	-2.5					
25.2m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.2m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.2m	-2.5					
25.1m	-2.5					
25.2m	-2.5					
25.1m	-2.5					
25.2m	-2.5					
25.1m	-2.5					
25.2m	-2.5					
25.1m	-2.5					
25.1m	-2.5					
25.2m	-2.5					
25.1m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.1m	-2.5					
25.2m	-2.5					
25.1m	-2.5					
25.2m	-2.5					
25.1m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.3m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.3m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.3m	-2.5					
25.2m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.2m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.2m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.3m	-2.5					
25.2m	-2.5					
25.3m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.3m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.3m	-2.5					
25.2m	-2.5					
25.3m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.3m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
25.2m	-2.5					
