Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
5m	176m					
5m	178m					
5m	179.9m					
5m	179.7m					
5m	178.9m					
5m	178.1m					
5m	172.5m					
5m	173.3m					
5m	175.6m					
5m	176.6m					
5m	176.5m					
5m	178.7m					
4.9m	175.2m					
4.9m	175.6m					
4.9m	177m					
4.9m	178.2m					
4.9m	179m					
4.9m	179.1m					
4.9m	178.6m					
4.9m	178.4m					
4.9m	178m					
4.9m	175.6m					
4.9m	173.7m					
4.9m	175m					
4.9m	176m					
4.9m	179.3m					
4.9m	179.5m					
4.9m	179m					
4.9m	179.3m					
4.8m	180.2m					
4.9m	177.4m					
4.9m	175.8m					
4.9m	176.2m					
4.8m	176.5m					
4.8m	178.6m					
4.9m	178.7m					
4.9m	180.3m					
4.9m	180.2m					
4.8m	180m					
4.8m	179.1m					
4.8m	178.7m					
4.8m	176.5m					
4.9m	175.7m					
4.8m	177.7m					
4.8m	177.8m					
4.8m	179.1m					
4.8m	178.7m					
4.8m	177.9m					
4.8m	178.2m					
4.8m	178.3m					
4.8m	174m					
4.8m	172.7m					
4.8m	174.4m					
4.8m	174.6m					
4.8m	176.7m					
4.8m	177.3m					
4.8m	178m					
4.8m	178.7m					
4.8m	178.8m					
4.7m	178m					
4.7m	177.6m					
4.8m	176.7m					
4.8m	177.2m					
4.8m	180m					
4.7m	180.9m					
4.8m	181.9m					
4.7m	180.5m					
4.7m	180.3m					
4.7m	181.2m					
4.7m	180m					
4.7m	175.3m					
4.7m	175.8m					
4.7m	176.3m					
4.7m	177.6m					
4.7m	178.7m					
4.7m	179.1m					
4.7m	179.4m					
4.7m	180.4m					
4.7m	180m					
4.7m	178.9m					
4.7m	178.5m					
4.6m	178.1m					
4.6m	179.4m					
4.7m	179.5m					
4.6m	181.3m					
4.7m	180.7m					
4.7m	178.9m					
4.7m	178.7m					
4.6m	178.1m					
4.6m	174.7m					
4.6m	172.9m					
4.6m	173.7m					
4.6m	174.1m					
4.6m	177.9m					
4.6m	178.5m					
4.6m	179.5m					
4.6m	179.6m					
4.6m	179.7m					
4.6m	178.3m					
4.6m	177.7m					
4.6m	176.4m					
4.6m	176.5m					
4.6m	178.7m					
4.6m	179.7m					
4.5m	181.2m					
4.5m	180.7m					
4.5m	180.6m					
4.6m	180.7m					
4.6m	180.3m					
4.6m	175.6m					
4.6m	175.8m					
4.6m	178.3m					
4.5m	179.5m					
4.5m	181.1m					
4.5m	180.9m					
4.5m	180.9m					
4.5m	180.9m					
