Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
-5m	178.2m					
-5m	174.1m					
-5m	173.8m					
-5m	172.7m					
-5m	176.9m					
-5m	177.3m					
-5m	177.3m					
-5m	176.6m					
-5m	173.6m					
-5m	173.9m					
-5m	174m					
-5m	174.6m					
-5m	172.8m					
-5m	170.9m					
-5m	170.6m					
-5m	170.4m					
-5m	168.2m					
-5m	166.1m					
-5m	169.1m					
-4.9m	169.6m					
-5m	174.8m					
-4.9m	176m					
-5m	177.8m					
-5m	178.3m					
-5m	179.9m					
-4.9m	178.5m					
-5m	177.4m					
-4.9m	178.6m					
-4.9m	178.7m					
-4.9m	181m					
-4.9m	181.4m					
-5m	182.2m					
-4.9m	181m					
-4.9m	180.3m					
-4.9m	179.7m					
-4.9m	179.4m					
-4.9m	173m					
-4.9m	172.7m					
-5m	174.9m					
-4.9m	175.8m					
-4.9m	177.5m					
-4.9m	176.9m					
-4.9m	176.6m					
-4.9m	177.6m					
-4.9m	178m					
-4.9m	174m					
-4.9m	174m					
-4.9m	174.2m					
-4.9m	175.1m					
-4.9m	176.6m					
-4.9m	177.2m					
-4.9m	178.1m					
-4.9m	177.5m					
-4.9m	177.3m					
-4.9m	176.7m					
-4.9m	175.9m					
-4.9m	170.3m					
-4.8m	170.4m					
-4.9m	170.5m					
-4.9m	171.2m					
-4.9m	172m					
-4.9m	171.3m					
-4.9m	170.5m					
-4.8m	171.6m					
-4.9m	172.7m					
-4.9m	170.9m					
-4.9m	170.5m					
-4.9m	174.1m					
-4.9m	175.6m					
-4.9m	179.5m					
-4.8m	180.2m					
-4.9m	180.8m					
-4.9m	181.6m					
-4.8m	182.2m					
-4.9m	179.8m					
-4.8m	179.3m					
-4.9m	178.5m					
-4.8m	178.9m					
-4.8m	180.1m					
-4.9m	180.1m					
-4.8m	180.1m					
-4.8m	177.5m					
-4.8m	177.2m					
-4.9m	176.7m					
-4.8m	175.2m					
-4.8m	170.9m					
-4.8m	171.6m					
-4.8m	173.3m					
-4.8m	175m					
-4.8m	176m					
-4.8m	176.2m					
-4.8m	176.4m					
-4.8m	177.1m					
-4.8m	177.1m					
-4.8m	174m					
-4.8m	174.5m					
-4.8m	175.2m					
-4.8m	176.5m					
-4.8m	178.7m					
-4.8m	179m					
-4.8m	179m					
-4.8m	177.1m					
-4.8m	177m					
-4.8m	175.2m					
-4.8m	173.3m					
-4.8m	168.5m					
-4.8m	169.4m					
-4.8m	170.7m					
-4.8m	172.3m					
-4.8m	174.4m					
-4.8m	174.9m					
-4.8m	175m					
-4.8m	176.7m					
-4.7m	176.8m					
-4.8m	174.4m					
-4.8m	175.6m					
-4.8m	176.9m					
-4.8m	178.3m					
-4.7m	179.9m					
-4.7m	180.8m					
-4.7m	180.9m					
-4.7m	180.6m					
-4.7m	179.8m					
-4.8m	176.7m					
-4.8m	175.4m					
-4.8m	174.2m					
-4.8m	174.9m					
-4.8m	175.5m					
-4.7m	176.9m					
-4.7m	177m					
-4.7m	176.9m					
-4.7m	177m					
-4.8m	177.1m					
-4.6m	176.1m					
-4.7m	172.9m					
-4.7m	174.4m					
-4.7m	175.4m					
-4.7m	179.2m					
-4.7m	179.4m					
-4.7m	179.6m					
-4.7m	180.1m					
-4.7m	181.2m					
-4.7m	179.2m					
-4.7m	178.1m					
-4.7m	177.1m					
-4.7m	176.6m					
-4.7m	177.7m					
-4.7m	177.7m					
-4.7m	177.1m					
-4.7m	175.8m					
-4.7m	173.5m					
-4.7m	173.1m					
-4.7m	172.5m					
-4.7m	170.2m					
-4.7m	169.1m					
-4.7m	171.7m					
-4.7m	173m					
-4.7m	178.1m					
-4.7m	178.2m					
-4.7m	179.1m					
-4.7m	179.9m					
-4.7m	181.2m					
-4.7m	178.8m					
-4.7m	177.9m					
-4.7m	178.5m					
-4.7m	178.9m					
-4.7m	181m					
-4.7m	181.5m					
-4.7m	182.2m					
-4.7m	181.1m					
-4.7m	179.7m					
-4.6m	178.6m					
-4.6m	178m					
-4.7m	174.5m					
-4.6m	174.7m					
-4.7m	176.4m					
-4.7m	178m					
-4.7m	179.7m					
-4.6m	179.2m					
-4.6m	178.7m					
-4.6m	179.6m					
-4.6m	179.1m					
-4.6m	175.8m					
-4.7m	176.1m					
-4.6m	177.3m					
-4.6m	179m					
-4.6m	180.4m					
-4.6m	181.1m					
-4.6m	181.2m					
-4.6m	181m					
-4.6m	180.8m					
-4.7m	180.1m					
-4.6m	178.4m					
-4.6m	175.8m					
-4.6m	176.6m					
-4.6m	177.1m					
-4.6m	179.4m					
-4.6m	179.5m					
-4.6m	178.4m					
-4.6m	178.7m					
-4.6m	179.5m					
-4.6m	176.8m					
-4.6m	175.2m					
-4.6m	175.8m					
-4.6m	176.2m					
-4.6m	179.5m					
-4.6m	179.5m					
-4.6m	180.1m					
-4.6m	179.9m					
-4.6m	179.5m					
-4.6m	178.8m					
-4.6m	178.5m					
-4.5m	174.9m					
-4.5m	173.5m					
-4.5m	174.4m					
-4.6m	174.7m					
-4.6m	178m					
-4.6m	177.2m					
-4.6m	176.1m					
-4.5m	176.7m					
-4.6m	177.5m					
-4.6m	173.8m					
-4.5m	172.7m					
-4.6m	174.4m					
-4.6m	175.4m					
-4.6m	178.7m					
-4.6m	179.6m					
-4.5m	180.6m					
-4.5m	180.6m					
-4.5m	180.6m					
-4.5m	179m					
-4.6m	178.7m					
-4.5m	177.5m					
-4.6m	177.6m					
-4.5m	178.7m					
-4.5m	180m					
-4.5m	181m					
-4.5m	180.1m					
-4.5m	179.5m					
-4.5m	180.5m					
-4.5m	179.3m					
-4.5m	175.6m					
-4.5m	176.2m					
-4.5m	178m					
-4.5m	179.9m					
-4.5m	181.1m					
-4.5m	181.2m					
-4.5m	181.2m					
-4.5m	181m					
-4.5m	180.2m					
-4.5m	178.5m					
-4.5m	176m					
-4.4m	174.6m					
-4.5m	176.2m					
-4.5m	177m					
-4.5m	178.7m					
-4.5m	178.6m					
-4.5m	176.9m					
-4.5m	177.9m					
-4.5m	179.1m					
-4.5m	176.8m					
-4.5m	173.7m					
-4.5m	175.1m					
-4.5m	175.6m					
-4.5m	177.8m					
-4.4m	178.4m					
-4.5m	178.4m					
-4.5m	178.8m					
-4.5m	179.1m					
-4.5m	178.3m					
-4.4m	177.5m					
-4.5m	176.4m					
-4.5m	176.2m					
-4.5m	178.8m					
-4.5m	179.7m					
-4.5m	182.1m					
-4.5m	181.2m					
-4.4m	180.4m					
-4.4m	181m					
-4.4m	181.1m					
-4.4m	176.4m					
-4.4m	176.2m					
-4.5m	177.4m					
-4.4m	178.2m					
-4.4m	180.3m					
-4.4m	180.5m					
-4.4m	180.6m					
-4.4m	180.6m					
-4.4m	180.6m					
-4.4m	178.1m					
-4.4m	177.5m					
-4.4m	176.6m					
-4.4m	177.5m					
-4.4m	178m					
-4.4m	178.8m					
-4.4m	179.2m					
-4.4m	178.3m					
-4.4m	178.2m					
-4.4m	177.9m					
-4.4m	176.2m					
-4.4m	172.9m					
-4.4m	175.1m					
-4.4m	176.2m					
-4.4m	178.1m					
-4.3m	178.9m					
-4.4m	178.9m					
-4.4m	179m					
-4.4m	179.4m					
-4.3m	178.6m					
-4.4m	177.4m					
-4.4m	176.8m					
-4.4m	176.6m					
-4.4m	179.3m					
-4.4m	180.3m					
-4.4m	181.8m					
-4.4m	181m					
-4.4m	179.9m					
-4.4m	180.1m					
-4.4m	180.4m					
-4.4m	176.1m					
-4.3m	175m					
-4.3m	176.9m					
-4.3m	177.8m					
-4.4m	180.6m					
-4.4m	180.6m					
-4.4m	180.6m					
-4.3m	181.1m					
-4.4m	181.3m					
-4.3m	179.2m					
-4.3m	178.5m					
-4.4m	177.3m					
-4.3m	177.7m					
-4.4m	178.9m					
-4.3m	179.9m					
-4.3m	180.8m					
-4.3m	178.6m					
-4.3m	178.3m					
-4.3m	178m					
-4.3m	176.9m					
-4.3m	173.8m					
-4.3m	174.3m					
-4.4m	175.9m					
-4.3m	178m					
-4.3m	179.3m					
-4.3m	180.5m					
-4.3m	180.6m					
-4.3m	180.8m					
-4.3m	179.8m					
-4.3m	177.5m					
-4.3m	176.5m					
-4.3m	176m					
-4.3m	178.1m					
-4.3m	179.2m					
-4.3m	181.2m					
-4.3m	180.8m					
-4.3m	180.1m					
-4.3m	180.2m					
-4.3m	180.4m					
-4.3m	176.9m					
-4.3m	175.4m					
-4.2m	177.1m					
-4.3m	177.9m					
-4.3m	180.4m					
-4.3m	180.5m					
-4.3m	180.7m					
