Current (mA) - Plot 0	Flow (GPM) - Plot 0	Current (mA) - Plot 1	Flow (GPM) - Plot 1	Current (mA) - Plot 2	Flow (GPM) - Plot 2	
19.1m	170.3m					
19m	171.3m					
19m	171.1m					
19m	170.7m					
19.1m	172.3m					
19m	172.9m					
19m	168.9m					
19m	167.3m					
19.1m	166.6m					
19m	166.4m					
19m	169.3m					
19.1m	169.3m					
19m	168.9m					
19.1m	168.8m					
19.1m	167.5m					
19.1m	167.9m					
19.1m	168.5m					
19.1m	166.4m					
19m	163.5m					
19.1m	163.8m					
19.1m	164m					
19m	166m					
19.1m	168.3m					
19m	167.1m					
19.1m	166.7m					
19.1m	166.5m					
19.1m	166.4m					
19.1m	167m					
19.1m	167.1m					
19.1m	163.9m					
19.1m	163.2m					
19.1m	165.7m					
19.1m	167m					
19.1m	170.5m					
19.1m	170.5m					
19.1m	170.5m					
19.1m	171.5m					
19.1m	172.4m					
19.2m	172m					
19.1m	171.6m					
19.1m	169.3m					
19.1m	167.3m					
19.2m	169.9m					
19.1m	170.3m					
19.1m	172.3m					
19.1m	172.4m					
19.1m	170.7m					
19.1m	170.8m					
19.1m	171.5m					
19.1m	170.5m					
19.1m	167.8m					
19.1m	166.8m					
19.2m	164m					
19.1m	165.8m					
19.1m	167m					
19.2m	168m					
19.2m	168.5m					
19.2m	167.9m					
19.2m	167.5m					
19.1m	168.9m					
19.2m	169.6m					
19.2m	165m					
19.1m	164.9m					
19.2m	164.7m					
19.1m	164.8m					
19.2m	168.2m					
19.2m	168.2m					
19.1m	168.4m					
19.2m	167.7m					
19.2m	166.4m					
19.2m	166.6m					
19.2m	166.8m					
19.2m	164.2m					
19.2m	160.4m					
19.2m	161.5m					
19.1m	162.9m					
19.2m	164.9m					
19.2m	167.7m					
19.2m	168.8m					
19.2m	169.1m					
19.2m	171.6m					
19.2m	172.5m					
19.2m	174m					
19.2m	173.1m					
19.2m	168.5m					
19.2m	169m					
19.2m	171.3m					
19.2m	173m					
19.2m	174.6m					
19.2m	173m					
19.2m	171.6m					
19.2m	171.7m					
19.2m	171.7m					
19.2m	171.3m					
19.2m	171.3m					
19.2m	163.8m					
19.2m	163m					
19.2m	165.2m					
19.3m	166.3m					
19.3m	169.3m					
19.2m	168.7m					
19.2m	167m					
19.2m	167.6m					
19.2m	169.2m					
19.3m	169.2m					
19.2m	169.2m					
19.2m	166m					
19.3m	163.9m					
19.2m	166.2m					
19.3m	167.7m					
19.2m	169.5m					
19.2m	170.5m					
19.3m	168.5m					
19.3m	168.4m					
19.3m	169.3m					
19.3m	169.3m					
19.2m	166.2m					
19.2m	165.9m					
19.2m	161.7m					
19.2m	162.6m					
19.3m	164.9m					
19.3m	165.7m					
19.3m	167.1m					
19.3m	167.1m					
19.3m	167.1m					
19.3m	168.7m					
19.3m	171.6m					
19.3m	168.7m					
19.3m	167.3m					
19.3m	167m					
19.3m	166.8m					
19.3m	169.6m					
19.3m	170.8m					
19.2m	171.5m					
19.3m	171.5m					
19.3m	170.5m					
19.3m	171.6m					
19.4m	173.1m					
19.3m	170.8m					
19.3m	167.3m					
19.3m	167.2m					
19.3m	167m					
19.3m	170.5m					
19.3m	171.6m					
19.3m	170.9m					
19.3m	170.7m					
19.3m	169.9m					
19.3m	169.9m					
19.3m	171.6m					
19.3m	170.5m					
19.4m	164.5m					
19.3m	164.5m					
19.3m	164.5m					
19.4m	165.4m					
19.3m	169.3m					
19.4m	168.4m					
19.3m	167.5m					
19.3m	168.2m					
19.3m	168.7m					
19.4m	169.6m					
19.3m	170.4m					
19.4m	165.5m					
19.4m	164.7m					
19.3m	165.9m					
19.4m	166.1m					
19.3m	168.5m					
19.4m	168.7m					
19.4m	165.3m					
19.4m	165.1m					
19.4m	165.7m					
19.4m	165.8m					
19.4m	165.7m					
19.3m	164.7m					
19.4m	162.2m					
19.3m	163.8m					
19.4m	167m					
19.4m	168.3m					
19.4m	170.9m					
19.4m	170.6m					
19.4m	170.4m					
19.4m	172.6m					
19.4m	173.7m					
19.4m	172.4m					
19.4m	172.3m					
19.4m	168.8m					
19.4m	168.9m					
19.4m	171.4m					
19.4m	171.9m					
19.5m	172.8m					
19.4m	171.6m					
19.4m	169.6m					
19.5m	169.9m					
19.4m	170m					
19.4m	167m					
19.5m	165.9m					
19.4m	163.7m					
19.4m	162.9m					
19.4m	165.9m					
19.4m	167.1m					
19.4m	169.6m					
19.4m	169.6m					
19.4m	168.7m					
19.4m	169.1m					
19.4m	172m					
19.4m	169.5m					
19.5m	166.3m					
19.4m	166.4m					
19.4m	166.6m					
19.5m	168.4m					
19.5m	170.4m					
19.5m	170.3m					
19.4m	170.2m					
19.4m	169.1m					
19.4m	168.9m					
19.5m	170.1m					
19.4m	170m					
19.5m	165.4m					
19.4m	165.1m					
19.5m	166.1m					
19.5m	166.9m					
19.4m	170.2m					
19.5m	170.1m					
19.5m	169.6m					
19.5m	170.2m					
19.5m	170.6m					
19.4m	171.1m					
19.5m	171.4m					
19.5m	167.7m					
19.4m	165.4m					
19.5m	166.8m					
19.5m	167m					
19.4m	169.2m					
19.5m	169.4m					
19.5m	167.7m					
19.5m	167.8m					
19.5m	168.5m					
19.5m	168.2m					
19.5m	167.5m					
19.5m	166.2m					
19.5m	162.9m					
19.5m	163.9m					
19.5m	166.3m					
19.5m	168.8m					
19.5m	170.4m					
19.6m	169.6m					
19.5m	169.1m					
19.5m	170.2m					
19.5m	170.7m					
19.6m	169.1m					
19.6m	169m					
19.6m	164.8m					
19.6m	165m					
19.5m	168.3m					
19.5m	168.4m					
19.5m	170.9m					
19.5m	170.4m					
19.5m	169.4m					
19.5m	170.1m					
19.5m	171.1m					
19.5m	168.5m					
19.6m	167.4m					
19.5m	166.3m					
