Pressure (psi) - Plot 0	Flow (GPM) - Plot 0	Pressure (psi) - Plot 1	Flow (GPM) - Plot 1	Pressure (psi) - Plot 2	Flow (GPM) - Plot 2	
201.4	1					
202.5	1					
202	1					
202.5	1					
204.2	1					
204.4	1					
204	1.1					
205.7	1.1					
206.4	1.1					
205.5	1.1					
205.4	1.1					
206.7	1.1					
206.5	1.1					
206.3	1.1					
207.3	1.1					
207.9	1.1					
207.5	1.1					
207.5	1.1					
208.6	1.1					
208.7	1.1					
208.8	1.1					
209.4	1.1					
210.1	1.1					
210.1	1.1					
209.8	1.1					
210.7	1.1					
211.5	1.1					
211.2	1.1					
211	1.1					
211.3	1.1					
210.9	1.1					
210.4	1.1					
211.1	1.1					
211.8	1.1					
211.2	1.1					
211	1.1					
211.9	1.1					
212.2	1.1					
211.5	1.1					
212.5	1.1					
212.9	1.1					
212.2	1.1					
212.1	1.1					
212.8	1.1					
212.8	1.1					
212.3	1.1					
213.6	1.1					
213.5	1.1					
213.2	1.1					
213.2	1.1					
214.1	1.1					
214.2	1.1					
214.1	1.1					
215	1.1					
214.8	1.1					
214.5	1.1					
214.4	1.1					
215	1.1					
214.9	1.1					
214.9	1.1					
214.8	1.1					
214.8	1.1					
214.5	1.1					
214.5	1.1					
215.3	1.1					
215.6	1.1					
215.4	1.1					
215.8	1.1					
216.2	1.1					
215.8	1.1					
215.9	1.1					
216.9	1.1					
216.8	1.1					
216	1.1					
216.5	1.1					
216.7	1.1					
216.3	1.1					
216.7	1.1					
217.8	1.1					
217.5	1.1					
216.9	1.1					
217.8	1.1					
217.9	1.1					
217.7	1.1					
218.7	1.1					
219.5	1.1					
218.8	1.1					
219	1.1					
219.7	1.1					
219.5	1.1					
219.2	1.1					
220.5	1.1					
220.7	1.1					
220.3	1.1					
220.9	1.1					
222	1.1					
222	1.1					
222.3	1.1					
223.5	1.1					
223.2	1.1					
222.9	1.1					
223.4	1.1					
223.9	1.1					
223.8	1.1					
224	1.1					
224.7	1.1					
224.6	1.1					
224.4	1.1					
225.2	1.1					
225.6	1.1					
225.8	1.1					
226.1	1.1					
226.8	1.1					
226.8	1.1					
226.4	1.1					
227.3	1.1					
227.6	1.1					
227.4	1.1					
227.4	1.1					
227.9	1.1					
227.5	1.1					
227.1	1.1					
228.3	1.1					
228.8	1.1					
228.2	1.1					
228.9	1.1					
229.4	1.1					
229.5	1.1					
230	1.1					
231.2	1.1					
230.9	1.1					
230.3	1.1					
231.5	1.1					
231.4	1.1					
231.1	1.1					
232	1.1					
232.7	1.1					
231.7	1.1					
231.8	1.1					
232.5	1.1					
232.1	1.1					
231.9	1.1					
233.1	1.2					
233.3	1.2					
232	1.2					
232.8	1.2					
233	1.2					
232.2	1.2					
232.5	1.2					
233.1	1.2					
232.2	1.2					
231.4	1.2					
232.3	1.2					
232.1	1.2					
