Current (mA) - Plot 0	Pressure (psi) - Plot 0	Current (mA) - Plot 1	Pressure (psi) - Plot 1	Current (mA) - Plot 2	Pressure (psi) - Plot 2	
-19m	-3k	0	3.1k	-30m	0	
-19m	-3k	0	-3.1k	30m	0	
-18.9m	-3k					
-19m	-3k					
-19m	-3k					
-19m	-3k					
-19m	-3k					
-19m	-3k					
-19m	-3k					
-19m	-3k					
-19m	-3k					
-18.9m	-3k					
-19m	-3k					
-18.9m	-3k					
-19m	-3k					
-18.9m	-3k					
-19m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-19m	-3k					
-19m	-3k					
-19m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-19m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-19m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.8m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.8m	-3k					
-18.9m	-3k					
-18.8m	-3k					
-18.9m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.9m	-3k					
-18.9m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.9m	-3k					
-18.8m	-3k					
-18.9m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.7m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.7m	-3k					
-18.8m	-3k					
-18.8m	-3k					
-18.7m	-3k					
-18.8m	-3k					
-18.7m	-3k					
-18.8m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.8m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.8m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.8m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.6m	-3k					
-18.7m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.7m	-3k					
-18.6m	-3k					
-18.7m	-3k					
-18.7m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.7m	-3k					
-18.6m	-3k					
-18.7m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.5m	-3k					
-18.6m	-3k					
-18.5m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.6m	-3k					
-18.5m	-3k					
-18.6m	-3k					
-18.5m	-3k					
-18.6m	-3k					
-18.5m	-3k					
-18.6m	-3k					
-18.5m	-3k					
-18.6m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.6m	-3k					
-18.5m	-3k					
-18.6m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.4m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.4m	-3k					
-18.5m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.5m	-3k					
-18.4m	-3k					
-18.5m	-3k					
-18.4m	-3k					
-18.5m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.5m	-3k					
-18.4m	-3k					
-18.5m	-3k					
-18.4m	-3k					
-18.5m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.5m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.5m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.3m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.3m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.3m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.4m	-3k					
-18.4m	-3k					
-18.3m	-3k					
-18.4m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.4m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.4m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.2m	-3k					
-18.3m	-3k					
-18.2m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.3m	-3k					
-18.2m	-3k					
-18.3m	-3k					
-18.2m	-3k					
-18.3m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.3m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.3m	-3k					
-18.2m	-3k					
-18.3m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.3m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.1m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.2m	-3k					
-18.1m	-3k					
-18.2m	-3k					
-18.1m	-3k					
-18.2m	-3k					
-18.1m	-3k					
-18.2m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.2m	-3k					
-18.1m	-3k					
-18.2m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18m	-3k					
-18.1m	-3k					
-18m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18m	-3k					
-18.1m	-3k					
-18m	-3k					
-18.1m	-3k					
-18m	-3k					
-18.1m	-3k					
-18.1m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18.1m	-3k					
-18m	-3k					
-18.1m	-3k					
-18m	-3k					
-18m	-3k					
-18.1m	-3k					
-18m	-3k					
-18.1m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-17.9m	-3k					
-18m	-3k					
-17.9m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-18m	-3k					
-17.9m	-3k					
-18m	-3k					
-17.9m	-3k					
-18m	-3k					
-17.9m	-3k					
-18m	-3k					
-17.9m	-3k					
-18m	-3k					
-18m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-18m	-3k					
-17.9m	-3k					
-18m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.8m	-3k					
-17.9m	-3k					
-17.8m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.8m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.9m	-3k					
-17.8m	-3k					
-17.9m	-3k					
-17.8m	-3k					
-17.9m	-3k					
-17.8m	-3k					
-17.9m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.9m	-3k					
-17.8m	-3k					
-17.9m	-3k					
-17.8m	-3k					
-17.9m	-3k					
-17.8m	-3k					
-17.9m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.9m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.7m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.7m	-3k					
-17.8m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.8m	-3k					
-17.7m	-3k					
-17.8m	-3k					
-17.7m	-3k					
-17.8m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.8m	-3k					
-17.8m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.6m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.8m	-3k					
-17.7m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.6m	-3k					
-17.7m	-3k					
-17.6m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.6m	-3k					
-17.7m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.7m	-3k					
-17.7m	-3k					
-17.6m	-3k					
-17.7m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.7m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.5m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.6m	-3k					
-17.5m	-3k					
-17.6m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.6m	-3k					
-17.5m	-3k					
-17.6m	-3k					
-17.5m	-3k					
-17.6m	-3k					
-17.5m	-3k					
-17.6m	-3k					
-17.5m	-3k					
-17.6m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.6m	-3k					
-17.5m	-3k					
-17.6m	-3k					
-17.5m	-3k					
-17.6m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.4m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.4m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.5m	-3k					
-17.4m	-3k					
-17.5m	-3k					
-17.5m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.5m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.3m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.4m	-3k					
-17.3m	-3k					
-17.4m	-3k					
-17.3m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.4m	-3k					
-17.3m	-3k					
-17.3m	-3k					
-17.3m	-3k					
